name,cca3,un_member,currencies,languages,landlocked,borders,area,population,timezones,flag_colors,population_density,GDP Per Capita,exports,imports
Guinea,GIN,True,Guinean franc,French,False,CIV;GNB;LBR;MLI;SEN;SLE,245857.0,13132792,UTC,red;yellow;green,60.0,1504.0,China;United Arab Emirates;India,China;India;Netherlands
Bahrain,BHR,True,Bahraini dinar,Arabic,False,,765.0,1701583,UTC+03:00,red;white,2052.4,30147.0,Saudi Arabia;United States,China;Brazil;Australia
Suriname,SUR,True,Surinamese dollar,Dutch,False,BRA;GUF;GUY,163820.0,586634,UTC-03:00,white;green,4.1,5859.0,United States;United Arab Emirates,United States;Netherlands;Trinidad and Tobago
DR Congo,COD,True,Congolese franc,French;Kikongo;Lingala;Tshiluba;Swahili,False,AGO;BDI;CAF;COG;RWA;SSD;TZA;UGA;ZMB,2344858.0,108407721,UTC+01:00;UTC+02:00,blue;yellow;red,48.2,632.0,China;Singapore,China;South Africa;United Arab Emirates
Somalia,SOM,True,Somali shilling,Arabic;Somali,False,DJI;ETH;KEN,637657.0,15893219,UTC+03:00,blue;white,30.3,592.0,United Arab Emirates;Oman;Saudi Arabia,United Arab Emirates;China;India
Czechia,CZE,True,Czech koruna,Czech;Slovak,True,AUT;DEU;POL;SVK,78865.0,10698896,UTC+01:00,red;white;blue,139.1,27685.0,Germany;Slovakia;Poland,Germany;China;Poland
Vanuatu,VUT,True,Vanuatu vatu,Bislama;English;French,False,,12189.0,307150,UTC+11:00,red;green;black;yellow,26.9,3015.0,Thailand;Japan;Gabon,China;Australia;Singapore
Togo,TGO,True,West African CFA franc,French,False,BEN;BFA;GHA,56785.0,8278737,UTC,green;yellow;red;white,174.9,914.0,India;Burkina Faso;Benin,China;France;India
Kenya,KEN,True,Kenyan shilling,English;Swahili,False,ETH;SOM;SSD;TZA;UGA,580367.0,53771300,UTC+03:00,black;red;green;white,97.2,2099.0,Uganda;United States;Netherlands,China;United Arab Emirates;India
Rwanda,RWA,True,Rwandan franc,English;French;Kinyarwanda,True,BDI;COD;TZA;UGA,26338.0,12952209,UTC+02:00,skyblue;yellow;green,588.9,966.0,DR Congo;United Arab Emirates;China,China;Tanzania;Kenya
Estonia,EST,True,Euro,Estonian,False,LVA;RUS,45227.0,1331057,UTC+02:00,blue;black;white,31.3,28693.0,Finland;Latvia;Sweden,Germany;China;Finland
Romania,ROU,True,Romanian leu,Romanian,False,BGR;HUN;MDA;SRB;UKR,238391.0,19286123,UTC+02:00,blue;yellow;red,82.6,15295.0,Germany;Italy;France,Germany;Italy;Hungary
Trinidad and Tobago,TTO,True,Trinidad and Tobago dollar,English,False,,5130.0,1399491,UTC-04:00,red;white;black,293.9,19629.0,United States;Belgium;Morocco,United States;China;Brazil
Guyana,GUY,True,Guyanese dollar,English,False,BRA;SUR;VEN,214969.0,786559,UTC-04:00,yellow;green,4.2,18199.0,Trinidad and Tobago;United States;Singapore,United States;China;Trinidad and Tobago
Timor-Leste,TLS,True,United States dollar,Portuguese;Tetum,False,IDN,14874.0,1318442,UTC+09:00,red;yellow;black;white,94.2,2389.0,China;Indonesia;South Korea,Indonesia;China;
Vietnam,VNM,True,Vietnamese đồng,Vietnamese,False,KHM;CHN;LAO,331212.0,97338583,UTC+07:00,yellow;red,322.2,4164,,KHM;LAO;ARM
Uruguay,URY,True,Uruguayan peso,Spanish,False,ARG;BRA,181034.0,3473727,UTC-03:00,blue;white,19.6,20793.0,Brazil;China,Brazil;China;Argentina
Vatican City,VAT,False,Euro,Italian;Latin,True,ITA,0.44,451,UTC+01:00,white;gold,1559,19450.22,,
Austria,AUT,True,Euro,German,True,CZE;DEU;HUN;ITA;LIE;SVK;SVN;CHE,83871.0,8917205,UTC+01:00,red;white,110.5,52609.0,Germany;Italy;United States,Germany;China;Italy
Antigua and Barbuda,ATG,True,Eastern Caribbean dollar,English,False,,442.0,97928,UTC-04:00,red;white;blue;black;yellow,213.1,18880.0,United States;China,United States;Japan;Trinidad and Tobago
Turkmenistan,TKM,True,Turkmenistan manat,Russian;Turkmen,True,AFG;IRN;KAZ;UZB,488100.0,6031187,UTC+05:00,green;white,15.9,10420.0,China;Turkey;Greece,United Arab Emirates;Turkey;China
Mozambique,MOZ,True,Mozambican metical,Portuguese,False,MWI;ZAF;SWZ;TZA;ZMB;ZWE,801590.0,31255435,UTC+02:00,green;yellow;red;black;white,44.0,558.0,India;South Africa;United Kingdom,South Korea;South Africa;United Arab Emirates
Panama,PAN,True,Panamanian balboa;United States dollar,Spanish,False,COL;CRI,75417.0,4314768,UTC-05:00,blue;white;red,60.9,17358.0,China;Japan;South Korea,Free Zones;United States;China
Micronesia,FSM,True,United States dollar,English,False,,702.0,115021,UTC+10:00;UTC+11:00,lightblue;white,161.7,3741.0,Thailand;China;Philippines,United States;China;Japan
Ireland,IRL,True,Euro,English;Irish,False,GBR,70273.0,4994724,UTC,green;white;orange,76.9,105993.0,United States;United Kingdom;Germany,United Kingdom;United States;France
